1. Depreciation is a ,(a) non-cash expense ,(b) cash expense ,(c) non-cash gain ,(d) cash gain,A,
2. Depreciation is charged on ,(a) fixed assets ,(b) current assets. ,(c) Land ,(d) All of the above,A,
3. Depreciation is ,(a) decline in the market value of tangible fixed assets. ,(b) The residual value of a fixed asset ,(c) Cost of a fixed assetï¿½s repair ,(d) Portion of a fixed cost consumed during the current accounting period,D,
4. Depletion term is used for depreciation in case of ,(a) Fixed assets ,(b) Tangible assets. ,(c) Intangible assets ,(d) Natural Assets,D,
5. Depreciation provides fund for ,(a) replacement ,(b) repairs ,(c) expansion of capital ,(d) All of the above,A,
6. When market value of an asset is higher than book value depreciation is ,(a) not charged ,(b) charged at usual rate ,(c) charged at lower rate ,(d) charged at higher rate,B,
7. Depreciation is charged ,(a) to reduce the value of asset to its market value ,(b) to adjust the cost the assets by portion of a fixed cost consumed during the current accounting period ,(c) to increase the value of assets to its market value ,(d) All of the above,B,
"8. If adequate maintenance expenditure is incurred, depreciation need ",(a) not be charged ,(b) be charged at lower rate ,(c) be charged at usual rate ,(d) be charged at higher rate,C,
9. Making excessive provision for doubtful debits builds up the secret reserve in the business. ,(a) True ,(b) False,,,A,
10. Capital reserves are normally created out of ,(a) free or distributable profits ,(b) normal operating activities ,(c) capital profit ,(d) All of the above,C,
11. Dividend equalisation reserve is an example of ,(a) general reserve ,(b) Specific reserve ,(c) capital reserve ,(d) None of the given,B,
12. Reserve the purpose of which has not been spelt out is ,(a) General reserve ,(b) free reserve ,(c) Both A & B ,(d) Revenue Reserve.,C,
13. Which of the following is/are a charge against profit ,(a) ï¿½Provision ,(b) Depreciation ,(c) Provision and Depreciation ,"(d) Provision, Depreciation and Reserve",C,
14. To meet future expenses or losses the amount of which is not certain an account is created which is called ,(a) Depreciation ,(b) Provision ,(c) Reserve ,(d) Provision and Reserve,B,
15. Creation of reserve ,(a) reduces taxable profits of the business ,(b) does not reduce taxable profits of the business ,(c) may or may not reduce taxable profits of the business ,(d) None of the give,B,
16. Depreciation is decline ,(a) in the historical cost of assets ,(b) in the market cost of assets ,(c) in the fair cost of assets ,(d) Residual cost,A,
17. Cost of assets includes i. cost of item ii. Installation iii. Freight and Transportation iv. Proceeds from Test run ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,A,
18. Types of reserve are i. General Reserve ii. Capital Reserve iii. Accumulated Reserve iv. Specific Reserve v. Revenue Reserve ,"(a) i, ii, iii and iv ","(b) i, ii, iv and v ","(c) i, ii, iii and v ",(d) All of the above,B,
19. Reserve created for maintaining a stable rate of dividend is termed as ,(a) Debenture Redemption Reserve ,(b) Dividend Equalisation Reserve ,(c) Capital Reserve ,(d) General Reserve,B,
