01. Financial Year covers the period,From 01 Jan to 31 Dec,From 01 April to 31 March next year,From 01 July to 30 June next year,01 September to 31 August next year,B,[Rule: 42]
02. Presentation of Budget/ Annual Financial Statement to Parliament is made under the provision of Article,112 (1),112 (2),113 (1),113 (2),A,[Rule: 43 (1)]
03. Who shall arrange to lay Budget/ Annual Financial Statement before both the Houses of Parliament,Concerned Ministry/Department,CGA,Finance Minister,Public Account Committee,C,[Rule: 43 (1)]
"04. The provisions for preparation, formulation and submission of budget to the Parliament are contained in Articles",112 to 116 of the Constitution of India., 112 to 115 of the Constitution of India ,110 to 114 of the Constitution of India,111 to 117 of the Constitution of India,A,[Rule: 43 (3)]
05. The budget shall contain the following: -,Estimates of all revenues expected to be raised during the financial year to which the budget relates,"Estimates of all expenditure for each programme, scheme and project in that financial year;",Estimates of all interest and debt servicing charges and any repayments on loans in that financial year;,All of the above,D,[Rule: 44]
06. State whether true or false: The accounting heads under which major tax and non-tax revenues are collected shall be prescribed by the administrative Ministry in consultation with the Budget Division in the Finance Ministry.,TRUE,FALSE,,,A,[Rule: 45]
07. The rates of user charges should be linked with appropriate price indices and reviewed at least,every year,every two years,every three years,every five years,C,[Rule: 47 (iii)]
08. The expenditure Charged on the Consolidated Fund and expenditure for which a vote of the Lok Sabha is required have been provisioned in,Article 112 (1) and Article 112 (2) respectively,Article 112 (2) and Article 113(3) respectively,Article 112 (3) and Article 113(3) respectively,Article 112 (3) and Article 113(2) respectively,D,[Rule: 50 (1)]
09. The estimates for expenditure for which vote of Lok Sabha is required shall be in the form of,Vote on Account,Demand for Grants,Vote for Grants,Vote on Demand,B,[Rule: 51 (1)]
10. The final unit of appropriation is,Major Head,Minor Head,Primary Head,Object head,D,[Rule: 50 (3)]
11. State whether True or False : One Demand for Grant is presented in respect of each Ministry or Department and under no circumstances more than one Demand for Grant in respect of a single Ministry or Department shall be presented,TRUE,FALSE,,,B,[Rule: 51 (2)]
12. The Demand for Grants shall be presented to Parliament at,single level,two levels,three level,four levels,B,[Rule: 51 (3)]
