01. The procedures to be followed by treasury officers and Public Debt offices of the Reserve Bank in making payment in respect of the principal of market loans add interest thereon when they fall due shall be governed by the provisions contained in ,(a) RBI Manual ,(b) Government Securities Manual ,(c)         Treasury Rules and Manual ,(d) General Financial Rules  ,B,[Rule: 167]
"02. Procedure to be followed by the Post Offices in respect of the custody, issue and discharge of National Savings Certificates may be laid down by the ",(a) Central Government ,(b) State Government concerned ,(c) Posts and Telegraphs departmental regulations ,(d) Parliament  ,C,[Rule: 169]
"03. The conditions under which certificates of different denominations are issued and discharged, the maximum, limits of investment, the interest which accrues on them and other connecting matters ",(a) State Government concerned ,(b) Central Government ,(c) Either State or Central Government ,(d) Posts and Telegraphs departmental regulations  ,B,[Rule: Note below 169]
04. Subscriptions to a Provident Fond of the Government are recovered ordinarily by deduction from pay bills of the Government servants concerned .and the responsibility for making necessary deductions regularly and correctly devolves upon ,(a) Drawing officer ,(b) Subscriber ,(c)         Head of Office ,(d) Accounts Officer  ,A,[Rule: 171]
05. Premia or subscriptions to the Post Office Insurance Fund may be realised ,(a) by deduction from pay bills of the subscribers ,(b) by payment in cash at Post Offices only ,(c) either of the way ,(d) neither of the two  ,C,[Rule: 172]
06. If the leave salary of a subscriber has not been drawn or the official is on leave without pay ,"(a) the name of the official should be included in the schedule GAR 40 without showing any recovery, but suitable remarks may be given in remarks column as the case may be. ",(b) the name of the official should be included in the schedule GAR 40 ,(c) the name of the official should be included in the schedule GAR 40 with showing normal recovery with a suitable such on leave and subscription unpaid remarks may be given in remarks column as the case may be ,(d) the name of the official should be included in the schedule GAR 40 with showing normal recovery being remitted by the Government subject to short drawing in next bill ,A,[Rule: Note 2 (ii) below 172]
07. State whether true or false No lump sum credit without the supporting schedule or details of recovery should be sent. ,(a) True ,(b) False ,,,A,[Rule: Note 2 (iv) below 172]
08. Pick the incorrect one ,"(a) In cases in which subscription or repayment of advances are paid by deduction from pay bills, the requisite particulars shall be entered by the Head of Office in a separate schedule in the Form GAR 41 to be attached to the pay bill. ","(b) If the subscription is paid in cash, the number of the account and all other, particulars) mast ""be furnished. ","(c) The schedules in respect of the recoveries effected from Group D Government servants, whose General Provident Fund Accounts are maintained by Heads of Offices, shall be signed by himself when signing the pay bills after comparing the total in the schedules with the total deductions shown in the pay bills ","(d) The schedules in such cases will not be attached to the pay bills, instead a certificate will be attached to the pay bills indicating the total amount deducted as subscriptions and refund of withdrawals.  ",C,[Rule: Note below 173. Schedule shall be signed by drawing officer]
"09. When a subscriber to any Fund whose subscriptions are realised by deduction from pay bill is transferred from one office to another, the fact that he is subscribing to the fund by noting thereon the amount of his monthly subscription and the number of the Fund account and Life Insurance policy, if any, financed therefrom as well as of Post Office Insurance Fund Policy shall be certified on the ",(a) last pay certificate ,(b) A certificate by DDO ,(c) a certificate by HoO ,(d) a certificate by Accounts Officer  ,A,[Rule: 174]
10. Pick the incorrect one ,(a) Advances and withdrawals from a Provident Fund may be drawn on Form GAR 42 ,(b) the bill shall be supported by a copy of the sanction accorded by the competent authority. ,"(c) Where the amount of the advance or withdrawal exceeds Rs.500, the payment may be made, even to a non-gazetted subscriber, by an 'Account Payee' cheque drawn in his favour if so desired by the subscriber. ",(d) Withdrawals from Provident Fund by officers and staff serving abroad for payment of Insurance premium in India may he remitted by bank drafts.  ,C,[Rule: 175. When exceeds Rs. 250 and not Rs. 500]
