1. In a lump sum contract the contractor agrees to execute a complete work ,(a) with all its contingencies in accordance with the drawings and specification for a fixed sum ,(b) without all its contingencies in accordance with the drawings and specification for a fixed sum ,(c) with all its contingencies without any drawings and specification for a fixed sum ,(b) without all its contingencies without any drawings and specification for a fixed sum,A,11.1.1
 2. A schedule of rates is specified in order to regulate ,(a) the amount to be added to or deducted from the fixed sum on account of additions and alterations covered by the contract ,(b) the amount to be added to or deducted from the fixed sum on account of additions and alterations not covered by the contract ,(c) the amount to be added to or deducted from the fixed sum on account of keeping the lump-sum contract within cost likely to incur under completed item of work ,(d) the amount to be added to or deducted from the fixed sum on account of contractor being defaulter.,B,11.1.1(i)
 3. Under Lump-sum detailed measurements of the work done are not required to be recorded except in respect of ,(a) advance payment is made ,(b) additions and alterations ,(c) work executed is not as per drawing and specification ,(d) All of the above,B,11.1.1(ii)
 4. The form of Lump-sum contract is prescribed by ,(a) Government in consultation with its Law Officers. ,"(b) before the form is finally determined, the advice of the office of the Chief Controller of Accounts should be sought on the question whether the form proposed meets the requirements of audit / inspection. ",(c) Both A&B ,(d) None of the given,C,11.1.2
" 5. Whenever the Lump-sum Contract agreement provides for intermediate payment, a certificate should be given by a responsible officer of Government not below the rank of ",(a) Junior Engineer ,(b) Divisional Officer ,(c) Senior Most Gazetted officer ,(d) Sub-divisional Officer,D,11.2.2
 6. In case where the certificate for intermediate payment on lump-sum contract is given by the Sub-divisional Officer ,(a) Divisional Officer will continue to be responsible for the correctness of payments ,(b) Divisional Accountant will continue to be responsible for the correctness of payments ,(c) Both A&B ,(c) Sub-Divisional Officer will continue to be responsible for the correctness of payments,A,11.2.2
 7. State whether true or false The Divisional Officer is required to specify in the bill the method employed by him in estimating the value of work done where making any intermediate payment on a lump-sum contract. ,(a) True ,(b) False,,,B,11.2.2 Note
" 8. In the case of final payments on a lump-sum contract, in addition to a record of detailed measurements in respect of additions and alterations, there should be a certificate of completion of the work according to the prescribed drawings and specification signed by the ",(a) Sub-Divisional Officer ,(b) Divisional officer ,(c) Contractor ,(d) All of the above,B,11.2.3
" 9. The execution of a work in a border State under the supervision of a responsible Civil Officer without the intervention of the Public Works Department, ","(a) a completion certificate signed by the Civil Officer concerned may be accepted, if he is empowered by the Administrative Ministry / Administrator concerned to sign it. ",(b) a completion certificate signed by the Civil Officer concerned and countersigned by Divisional Officer may be accepted ,(c) On the basis of information and connected document completion certificate shall be signed only the Divisional officer ,(d) Either A or B,A,11.2.3 Note
10. Pick the Correct one:-,"(a) No payment for additions and alterations shall be made before the completion of the work, even if the detailed measurements of them have been made and the contract provides for that. ","(b) payment for additions and alterations shall be made before the completion of the work, if the detailed measurements of them have been made and the contract provides for that. ","(c) payment for additions and alterations shall be made before the completion of the work, if the detailed measurements of them have been made and the contract provides for that provided that such payment does not exceed the amount involved in lump-sum contract. ","(d) payment for additions and alterations shall be made before the completion of the work, if the detailed measurements of them have been made and the contract provides for that provided that work under lumpsum contract is likely to completed within the same financial year.",B,11.2.4
 11. The forms of bills used for payments in connection with the lump sum contracts are Forms ,(a) CPWA 26 A and CPWA 27A ,(b) CPWA 26 B and CPWA 27B ,(c) CPWA 27 A and CPWA 27 B ,"(d) CPWA 24, CPWA 27 A and CPWA 27 B",C,11.3.1
 12. Form 27-A is intended for ,(a) intermediate payments on completed item of work ,(b) intermediate payments on lump-sum contract ,(c) Final Payment in respect of completed item of work ,(d) Final Payment in respect of lump-sum contract,B,11.3.2
" 13. When secured advances are allowed to a contractor on lump-sum contract, an indenture in Form 31, should invariably be obtained from the contractor and a detailed account of the materials should be kept in ",(a) Measurement Book ,(b) Part I of CPWA 27A ,(c) Part II of CPWA 27A ,(d) No detailed account of material to kept.,C,11.3.2
 14. The certificate on the basis which a secured advance is granted is printed ,(a) locally ,(b) at Sl. No. 3 of Part I of CPWA 27-A ,(c) at Sl. No. 3 of Part II of CPWA 27-A ,(d) at Sl. No. 3 of Part III of CPWA 27-A,D,11.3.2
 15. The certificate on the basis which a secured advance is granted must be signed by the officer ,(a) not below the rank of Sub divisional Officer ,(b) above the rank of Sub divisional Officer ,(c) not below the rank of divisional Officer ,(b) above the rank of divisional Officer,A,11.3.2
 16. Which is intended for final payments made to a contractor on lump-sum contract? ,(a) 26A ,(b) 27B ,(c) 27A ,(d) 26B,B,11.3.3
