01. Advance payment for purchase of store shall be made on an abstract contingent bill in from ,(a) GAR 30 ,(b) GAR 31 ,(c) GAR 29 ,(d) GAR 28  ,A,[Rule: 126 (2)]
02. Settlement of advance payment made for purchase of store shall be done on a detailed contingent bill in from ,(a) GAR 30 ,(b) GAR 31 ,(c) GAR 29 ,(d) GAR 28  ,C,[Rule: 126 (2)]
"03. Wherever stores are supplied by one Department to another and debits are required to be raised through the Accounts channel, the following instructions except should be printed on all forms of invoices for the supply of stores, etc. ",(a) Department or Office to which the charge is debitable ,"(b) Unit of appropriation (Major, Minor, Subhead and Detailed head) and Demand for Grant. ..........Number.... ",(c) Month and year to which the charge relates ,(d) DDO by whom the amount is payable  ,D,[Rule: Note below 126 (2). It is Accounts Officer not DDO by which payable]
04. Payments for all purchases ordered through the India Supply Missions at London or Washington will be arranged by the ,(a) Head of Department of indenting Department/Ministries ,(b) PAO of indenting Department/Ministries ,"(c) High Commission of India, London/Indian Embassy, Washington ",(d) PAO of Ministry of External Affairs  ,C,[Rule: 128. Debit is passed on to India in due course]
"05. In regard to articles obtained by placing direct orders on firms or individuals in the United Kingdom, United States of America or any other foreign country, payment shall be arranged ",(a) Concerned High Commission/Embassy ,(b) PAO of Ministry of External Affairs ,(c) Accounts Officer of the concerned Department/Ministries ,(d) Principal Accounts of the concerned Department/Ministries  ,C,[Rule: 129 (i)]
"06. Where the time schedule of payment permits the Accounts Officer to purchase a bank draft in the specified foreign currency in favour of the supplier in the foreign country, the cost of the bank draft will be booked by the Accounts Officer against the ",(a) bill of supplier ,(b) Office contingency ,(c)        Misc. Expenditure ,(d) relevant head of account  ,D,[Rule: 129 (ii)]
07. State whether true or false No Letter of Credit (LoC) shall be opened in favour of foreign suppliers. ,(a) True ,(b)False  ,,,B,"[Rule: 129 (iii). Where heavy payment is involved, LoC may be opened.]"
08. FOB stands for ,(a) Free on Board ,(b) First on Board ,(c) Freight on Board ,(d) Facilitation on Board  ,A,[Rule: ]
"09. Instructions regarding procedures for payments to foreign suppliers for imports covered under various foreign aid (credits, loans or grants) programmes and, instruction's regarding procedures for accounting of cash and equipment grants received by the Government from various foreign Governments or Institutions, are issued by ",(a) CGA ,(b) CAG ,"(c) Controller of Aid, Accounts and Audit ",(d) Ministry of External Affairs  ,C,[Rule: Note 3 below 129 (iv)]
"10. Controller of Aid, Accounts and Audit is located in Ministry of Finance in the Department of  ",(a) Expenditure ,(b) Economic Affairs ,(c) Budget ,(d) Public Debt and Loan  ,B,[Rule: Note 3 below 129 (iv)]
"11. Instructions issued by the Controller of Aid Accounts and Audit (Department of Economic Affairs) for each loan, credit or grant agreement shall be approved ",(a) CGA on the advice of CAG ,(b) CAG on the advice of CGA ,(b) Finance Minister on the advice of CGA   ,(d) President on the advice of cabinet  ,A,[Rule: Note 3 below 129 (iv)]
"12. When it is not possible to give details of contingent work expenditure at the time of drawing the bill, their subsequent submission to Accounts Officer in a bill in Form GAR 31 along with necessary sub-vouchers shall never be delayed for more than ",(a) 15 days ,(b) a month ,(c)        two months ,(d) three months  ,B,[Rule: 131]
13. Wages of labourers engaged departmentally shall be drawn on ,(a) Hand Receipt ,(b) Casual Labour Roll ,(c) Muster Roll ,(d) Labour Roll  ,C,[Rule: 132 (1)]
14. Pick the incorrect one ,"(a) If any items remain unpaid, the details thereof must be recorded separately in the muster roll in which they were originally drawn ","(b) Unpaid items shall subsequently be carried forward from muster roll to muster roll until they are paid, the payments-being recorded and certified in the same way as current items. ",(c) it will be optional with the disbursing officer to adopt any other alternative method of making payment of unpaid wages. ,(d) Wages of members of the work-charged establishment may be drawn on form GAR 29  ,D,[Rule: 133 & 134]
"15. State whether true or false        Wages of WCE remaining unpaid on a passed bill on the date fixed for closing the accounts of the month may be paid subsequently when claimed, on a separate bill, quoting in each case; the reference to the bill in which the Charge was originally included and the particular item thereof. ",(a) True ,(b) False  ,,,A,[Rule: 134 (3)]
16. payment for all work done other than by daily labour and for all supplies shall be made on the basis of measurements recorded in ,(a) Goods Received Sheet ,(b) Dead Stock ,(c) Muster Roll ,(d) Measurement Book  ,D,[Rule: 135 (1)]
17. As far as possible claims for payments for work done or supplies made shall be prepared in authorised forms of bills and vouchers by the ,(a) claimants themselves ,(b) Officer-in-charge of work/supplies ,(c) DDO ,(d) Accounts Officer  ,A,[Rule: 135 (1)]
"18. Subject to such general or special instructions as may be issued by the Government, measurement books may be kept in such form and according to such methods as may be authorised by ",(a) Works Manual ,(b) Departmental Regulations ,(c) Accounts Officer ,(d) Principal Accounts Officer  ,B,[Rule: 135 (2)]
"19. When the maintenance of any Government buildings or roads is entrusted to a Local authority, the payment made to it on this account shall be treated as ",(a) Contribution ,(b) Grant-in-aid ,(c) payment to local bodies ,(b) payment to contractor.  ,D,[Rule: 136]
