1. The part of a financial statement are i. Trial Balance ii. Trading Account iii. Profit & Loss Account iv. Balance Sheet ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,B,
2. Which of the following is also known as Position Statement? ,(a) Trial Balance ,(b) Trading & Profit Account ,(c) Income & Expenditure Account ,(d) Balance Sheet,D,
3. The objectives of a financial statement are i. Ascertaining the results of business operations ii. Helps in managerial decision making iii. An index of solvency of the concern iv. Source of information v. Ascertaining the financial position ,"(a) i, ii, iii and iv ","(b) i, iii, iv and v ","(c) ii, iii, iv and v ",(d) All of the above,D,
4. Expenditure which aims at increasing the earning capacity of business is ,(a) capital expenditure ,(b) revenue expenditure ,(c) contingent expenditure ,(d) all of the above,A,
5. Pick the correct one ,(a) Capital expenditure is placed as an income in Profit & Loss A/c whereas revenue expenditure as a charge ,(b) Capital expenditure is placed as an assets in balance sheet whereas revenue expenditure as a liability ,(c) Capital expenditure is placed as an assets in balance sheet whereas revenue expenditure as a charge in Profit & Loss A/c ,(d) None of the given,C,
6. The expenditure provides the benefits spread over a number of years is/are ,(a) Capital expenditure ,(b) Revenue expenditure ,(c) Contingent expenditure ,(d) All of the above,A,
7. The heavy expenditure incurred on advertising is likely to benefit the business firm for more than one accounting period will be accounted for under ,(a) Capital expenditure ,(b) Revenue expenditure ,(c) Deferred capital expenditure ,(d) Deferred revenue expenditure,D,
8. Pick the correct one ,(a) Revenue receipts are shown in Trading & Profit and Loss A/c whereas Capital receipts are shown in Balance Sheet ,(b) Revenue receipts are shown in Balance Sheet whereas Capital receipts are shown in Trading & Profit and Loss A/c ,(c) Both revenue and capital receipts are shown in Trading & Profit and Loss A/c ,(d) Both revenue and capital receipts are shown in Balance Sheet,A,
9. Which of the following are capital receipt i. receipt from sale proceeds of fixed assets ii. Receipt from sale of old newspapers iii. Profits prior to incorporation iv. Profit on redemption of debentures v. Profit on revaluation of fixed asset & liabilities ,"(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, iii, iv and v ",(d) All of the above,C,
"10. Pick the correct one i. Trial Balance is also known as Statement of Affairs shows the head wise ledger balance of a given date. ii. Trading and Profit and Loss account is also known as Income statement, shows the financial performance in the form of profit earned or loss sustained by the business. iii. Balance Sheet shows financial position in the form of assets, liabilities and capital. iv. These are prepared on the basis of trial balance and additional information, if any. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,B,
11. Pick the correct one ,(a) Balances on the debit side of the Trading and a Profit and Loss account represent expenses and losses whereas balances on the credit side represent revenues and gains ,(b) Balances on the debit side of the Trading and a Profit and Loss account represent revenues and gains whereas balances on the credit side represent expenses and losses ,(c) There are no debit and credit sides in a Trading and a Profit and Loss account ,(d) None of the above,A,
12. Which of the following are shown on the debit side of a Trading and a Profit and Loss account i. Opening stock ii. Packaging material and Packing charges iii. Purchases including purchase return iv. salaries iv. Carriage inwards/Freight inwards ,"(a) i, ii, iii and iv ","(b) i, ii, iv and v ","(c) ii, iii, iv and v ",(d) All of the above,B,
13. Cost of goods sold ,(a) Opening stock + Net purchases + All direct expenses – Closing stock ,(b) Closing stock + Net purchases + All direct expenses – Opening stock ,(c) Opening stock + Gross purchases + All direct expenses – Closing stock ,(b) Closing stock + Gross purchases + All direct expenses – Opening stock,A,
14. Gross Profit ,(a) Net sales + Cost of goods sold ,(b) Net sales - Cost of goods sold ,(c) Net sales + Direct Expense + Cost of goods sold ,(d) Net sales+ Direct Expenses - Cost of goods sold,B,
"15. To ascertain the result from basic operational activities of the business, the account prepared is ",(a) Trial Balance ,(b) Trading Account ,(c) Profit & Loss Accounts ,(d) All of the above,B,
"16. If the total of the credit side of the Trading account is more than the total of the debit side, the difference is the ",(a) Gross Loss ,(b) Net Profit ,(c) Net Loss ,(d) Gross Profit,D,
"17. If the total of the debit side of the profit and loss account is more than the total of the credit side, the difference is the ",(a) Gross Loss ,(b) Gross Profit ,(c) Net Profit ,(d) Net Loss,D,
18. Gross profit or gross loss is transferred ,(a) from trading account to profit & loss account ,(b) from trading account to balance sheet ,(c) from profit & loss account to trading account ,(d) from trial balance to trading account,A,
19. Pick the correct one ,(a) The gross profit or the gross loss is transferred to profit and loss account on debit side and credit side respectively. ,(b) The gross profit or the gross loss is transferred to profit and loss account on credit side and debit side respectively. ,(c) The gross profit is transferred to profit and loss account on credit side and loss directly to balance sheet under capital account ,(d) The gross loss is transferred to profit and loss account on debit side and profit directly to balance sheet under capital account,B,
20. Indirect expenses are shown in ,(a) Trading Account ,(b) Profit and Loss Account ,(c) Balance Sheet ,(d) Trading Account and Profit & Loss Account,B,
21. Net profit is ,(a) Gross Profit –( Other Incomes + Indirect Expenses) ,(b) Gross Profit + indirect expenses -Other Incomes ,(c) Gross Profit + Other Incomes + Indirect Expenses ,(d) Gross Profit + Other Incomes – Indirect Expenses,D,
22. Which is transferred to the capital account in the balance sheet ,(a) Gross Profit ,(b) Gross Profit or Gross Loss ,(c) Net profit ,(d) Net profit or net loss,D,
23. The excess of operating revenue over operating expenses is ,(a) Operating Profit ,(b) Normal profit ,(c) Net Profit ,(d) Business Profit,A,
