1. The figures in summary of Appropriation Accounts are reconciled with ,(a) Statement 10 of Finance Accounts ,(b) Statement 11 of Finance Accounts ,(c) Statement 13 of Finance Accounts,(d) Statement 12 of Finance Accounts,A
2. The financial attest audit of State Government accounts has to be conducted as per ,"(a) MSO (Audit), 2002 ","(b) Financial Attest Audit Manual, 2014 ","(c) Financial Attest Audit Guidelines, 2009",(d) All of the above,C
3. Pick the incorrect one ,"(a) Audit planning for the Financial Attest Audit of State Government Accounts is the responsibility of the Accountant General in charge of audit of FA&AA and preparation of Audit Report on State Finances, henceforth, referred to as the Principal Auditor. ",(b) The other audit offices which contribute to audit of FA&AA would be referred as Sub-Auditors for the purpose of these guidelines. ,(c) O/o the Accountant General (A&E) would be the audited entity for the purpose of this audit.,(d) None of the given,C
4. Pick the correct one ,(a) The audit of FA&AA currently commences with the issue of a time schedule by the Government Accounts wing of the Headquarters office (C&AG’s office) in consultation with the PPG wing. ,(b) The process of financial attest audit of State Government gets completed with finalization of audit certificate and signing of Report on State Finances by the CAG. ,(c) It is expected that this process is completed by mid of December of the ensuing year to enable the State government to take on board important concerns before the next year’s budget.,(d) All of the above,D
"5. Verification of receipt of daily scrolls, pass books from the bank and proper maintenance register of daily receipts and payments. This should be done at least for transactions of ",(a) two days in a month selected at random ,(b) three days in a month selected at random ,(c) five days in a month selected at random,(d) one week in a month selected at random,A
6. Financial statements include Appropriation and Finance Accounts pertaining to i. Central Government ii. State Government iii. Union Territories iv. Externally Aided Project ,(a) All of the above ,"(b) ii, iii and iv ","(c) i, ii and iv","(d) i, ii and iii",D
"7. i. The Auditing Standards of the CAG of India comprise of General Standards, Field Standards, Reporting Standards and Follow-up reporting. ii. The General Standards are concerned with the relationship of the auditor to the audited organisation and with the personal conduct of the auditor in carrying out the audit iii. The Field Standards regulate the audit activity. iv. The Reporting Standards regulate what the auditor has to say after completing the audit. v. The Follow-up Standards regulate the department activity in pursuing reply to inspection report. ","(a) i, ii, iii and iv ","(b) ii, iii and iv ","(c) i, ii, iii and v",(d) All of the above.,B
8. Precision is calculated as ,(a) (Materiality + Anticipated Most Likely Error) x Range of error possible but with no room for unexpected error ,(b) (Materiality + Anticipated Most Likely Error) x Range of error possible but with room for unexpected error ,(c) (Materiality – Anticipated Most Likely Error) x Range of error possible but with no room for unexpected error ,(d) (Materiality – Anticipated Most Likely Error) x Range of error possible but with room for unexpected error,C
"9. Generally, a population should be divided or stratified into at least three segments. Pick the incorrect one ",(a) high value items ,(b) no value items ,(c) key items,(d) the remainder.,B
10. Sampling approach that is required if transactions are processed or accounting records are held at a number of locations in such a way that we cannot directly extract a sample from across the entire population is ,(a) Multi-stage sampling ,(b) Stratified random sampling ,(c) Monetary Unit Sampling (MUS),(d) Average Sampling,A
