1. Information is said to be relevant if it is[D1] ,(a) clearly prepared ,(b) understandable ,(c) free from bias,(d) All of the above,C
2. Which is the last step of accounting as a process of information? ,(a) Recording of data in the books of accounts ,(b) Preparation of summaries in the form of financial statements ,(c) Communication of information,(d) Analysis and interpretation of information,C
"3. Manipulation of the Profit for a given period by omitting certain expenses such as advertisement, research and development, depreciation etc. is called ",(a) Figure Dressing ,(b) Cover Dressing ,(c) Window Dressing,(d) Roof Dressing,C
"4. It is assumed that only those transactions that could be expressed in monetary terms, under which of the following concepts: ",(a) Dual Aspect Principle ,(b) Going Concern Entity ,(c) Money Measurement Entity,(d) Cost Principle,C
5. An ink-stand has been purchased by a firm for a nominal amount that is to last for 4 year. It should not be classified as a fixed asset under which of the following accounting principles: ,(a) Dual Aspect Principle ,(b) Materiality Principle ,(c) Timeliness Principle,(d) Conservatism Principle,B
"6. When estimating unearned revenues, what principle does apply to? ",(a) Conservatism concept ,(b) Going concern concept ,(c) Consistency concept,(d) Money Measurement concept,B
7. The accounting concept that refers to the tendency of accountants to resolve uncertainty and doubt in favour of understating assets and revenues and overstating liabilities and expenses is known as ,(a) Dual Aspect ,(b) Consistency Concept ,(c) Conservatism Concept,(d) Objectivity Concept,C
"8. Pre-received income is deducted from income in the current year’s P&L account, the underlying assumption being ",(a) Matching cost against revenue ,(b) Conservatism ,(c) Realisation,(d) None of the above,A
"9. When an owner withdraw goods, it is debited to his drawing account because of ",(a) dual-cost concept ,(b) Conservatism concept ,(c) Separate Entity concept,(d) Matching concept,C
10. The main objective to adopt historical cost in recording the fixed assets is that ,(a) net worth of the business entity is not disclosed ,(b) the cost of the assets will be easily verifiable from the supporting documents ,(c) business may utilise the deprecation account for enlarging the business volume,(d) All of the above.,B
11. Depreciation is a[D2] ,(a) non-cash expense ,(b) cash expense ,(c) non-cash gain,(d) cash gain,A
12. Creation of reserve ,(a) reduces taxable profits of the business ,(b) does not reduce taxable profits of the business ,(c) may or may not reduce taxable profits of the business,(d) None of the give,B
"13. The opening balance of “provision for doubtful debts account” is ? 1000 whereas the closing balance of debtors account is ? 100,000. What amount of provision for doubtful debts should be charged to income statement using a 5% provision for doubtful debts for the current accounting period? ",(a) ? 5000 ,(b) ? 4000 ,(c) ? 2000,(d) ? 1000,B
"14. If the original cost of the asset is ? 2,50,000 The useful life of the asset is 10 years and net residual value is estimated to be ? 50,000, the rate of depreciation under straight line method will ",(a) 10% ,(b). 12.5% ,(c) 8% ,(d). 8.33%,C
15. Showing contingent liabilities as actual liabilities is an example of ,(a) Provision ,(b) Revenue Reserve ,(c) Capital Reserve,(d) Secret Reserve,D
"16. If some errors committed during an accounting year are not located and rectified before the finalisation of financial statements, suspense account will[D3] ",(a) be closed by transferring the amount to cash/bank account ,(b) be closed by transferring the amount to Sale/Fee account ,(c) not be closed and carried forward to the next accounting period,(d) not be closed but will be carry forward under Capital Account,C
"17. When the payment is to be made by the debtor, under a written agreement it is ",(a) bills payable ,(b) bills receivable ,(c) advance,(d) contingent,A
18. Total of the cash on debit side of cash book is always ,(a) more than the total on its credit side ,(b) Less than the total on its credit side ,(c) either more or equal to total on its credit side,(d) either less or equal to total on its credit side,C
"19. Issued cheque for Rs. 70,000 to pay off on of the creditors. The journal entry will be ",(a) Creditor Account Dr. ? 70000 To Bank Account ? 70000 ,(b) Debtor Account Dr. ? 70000 To Bank Account ? 70000 ,(c) Bank Account Dr. ? 70000 To Creditor Account ? 70000,(d) Bank Account Dr. ? 70000 To Debtor Account ? 70000,A
20. If a transaction is properly analysed and recorded ,(a) Only two accounts will be used to record the transaction. ,(b) One account will be used to record transaction. ,(c) One account balance will increase and another will decrease.,(d) Total amount debited will equals total amount credited.,D
21. Which of the following is not an error of principle ,(a) Purchase of furniture debited to purchases account. ,(b) Repairs on the overhauling of second hand machinery purchased debited to repairs account. ,(c) Cash received from Manoj posted to Saroj.,(d) Sale of old car credited to sales account.,C
"22. Credit purchases from Raghu Rs. 20,000 were recorded as Rs. 25,000, the rectification will be made as ",(a) Purchase A/c Dr. ? 25000 To Raghu A/c ? 25000 ,(b) Raghu A/c Dr. ? 5000 To Purchase A/c ? 5000 ,(c) Raghu A/c Dr. ? 25000 To Purchase A/c ? 25000 ,(d) Purchase A/c Dr. ? 5000 To Raghu A/c ? 5000,B
23. Favourable bank balance means ,(a) Credit balance in the cash book ,(b) Debit balance in passbook ,(c) Debit balance in the cash book,(d) Both b and c,C
24. Trade discount is ,(a) recorded in seller’s account and not recorded in buyer’s accounts ,(b) recorded in buyer’s account and not recorded in seller’s accounts ,(c) not recorded in both seller’s and buyer’s accounts,(d) recorded in both seller’s and buyer’s accounts,C
25. Transactions that cannot be recorded in any special journal are recorded in journal called the ,(a) Journal Proper ,(b) Ordinary Journal ,(c) Journal Simple,(d) General Journal,A
"26. A Limited has fixed costs of ? 6,00,000 per annum. It manufactures a single product which it sells for ? 200 per unit. Its contribution to sales ratio is 40%. A Limited‘s break-even in units is[D4] ","(a) 7,500 ","(b) 8,000 ","(c) 3,000","(d) 1,500",A
"27. ABC Ltd. is having 400 workers at the beginning of the year and 500 workers at the end of the year. During the year 20 workers were discharged and 15 workers left the organization. During the year the company has recruited 65 workers. Of these, 18 workers were recruited in the vacancies of those leaving, while the rest were engaged for an expansion scheme. The labour turnover rate under separation method is : ",(a). 22.20% ,(b). 7.78% ,(c). 4.00% ,(d). 14.40%,B
28. Which of the following is not a relevant cost? ,(a) Replacement cost ,(b) Sunk cost ,(c) Marginal cost,(d) Standard cost,B
29. Idle capacity of a plant is the difference between: ,(a) Maximum capacity and practical capacity ,(b) Practical capacity and normal capacity ,(c) Practical capacity and capacity based on sales expectancy,(d) Maximum capacity and actual capacity.,D
"30. When P/V ratio is 40% and sales value is ? 10,000, the variable cost will be ",(a) ? 4000 ,(b) ? 6000 ,(c) ? 10000,(d) Variable Cost cannot be calculated from data given.,B
"31. If B Limited shows required production of 120 cases of product for the month, direct labour per case is 3 hours at ? 12 per hour. Budgeted labour costs for the month should be: ","(a) ? 1,360 ","(b) ? 1,440 ","(c) ? 4,320","(d) ? 5,346",C
32. The term Cost apportionment is referred to: ,(a) The costs that cannot be identified with specific cost centres. ,(b) The total cost of factory overhead needs to be distributed among specific cost centres but must be divided among the concerned department/cost centres. ,(c) The total cost of factory overhead needs to be distributed among specific cost centres.,(d) None of the given options,C
"33. While constructing a Break even chart, the gap between sales line and variable cost line shows which of the following? ",(a) Fixed cost ,(b) Break-even point ,(c) Contribution margin,(d) Variable cost,C
"34. Selling price per unit is ? 15, total variable cost per unit is ? 9, and total fixed costs are ? 15,000. What is the breakeven point in units ","(a) 3,000 units ","(b) 1,000 units ","(c) 1,667 units","(d) 2,500 units",D
"35. Mr. Aslam is running his own personal Financial services business. He has been offered a job for a salary of ? 45,000 per month which he does not availed. ? 45,000 will be considered as: ",(a) Sunk Cost ,(b) Opportunity cost ,(c) Avoidable cost,(d) Historical cost,B
"36. A company has budgeted sales of ? 48,000, breakeven sales of ? 35,000 and actual sales of ? 40,000 during a particular period. What will be the margin of safety? ","(a) ? 8,000 ","(b) ? 13,000 ","(c) ? 5,000","(d) ? 21,000",C
37. Which costs will change with an increase in activity within the relevant range? ,(a) Unit fixed cost and total fixed cost ,(b) Unit variable cost and total variable cost ,(c) Unit fixed cost and total variable cost,(d) Unit fixed cost and total fixed cost,A
"38. Standard output is 40 units/hour, standard rate ?s. 4/hour and working hours is 8 hours. When a worker produces 240 units in day, the wages under Taylor’s Differential Piece Rate System will ",(a) ? 24 ,(b) ? 16 ,(c) 19.2,(d) 21.2,C
39. Overtime premium which is paid to direct labour is charged to which of the following head in case of normal circumstances? ,(a) Work in process account ,(b) Entire production ,(c) Factory overhead Cost account,(d) Selling control account,B
"40. Where Re-order quantity- 3600 units, Maximum consumption- 900 units per week, Minimum consumption- 300 units per week, Re-order period- 5 weeks, the Re-order level is ",(a) 4500 units ,(b) 3900 units ,(c) 1200 units,(d) 3000 units,A
41. The term contribution refers to ,(a) The actual amount of profit made per unit ,(b) The budgeted profit per unit. ,(c) The amount of profit which goes towards meeting the overheads of the business.,(d) The difference between sales revenue and variable costs per unit.,D
"42. LG has incurred cost of ? 60,000 for material. Further it incurred ? 35,000 for labour and ? 70,000 for factory overhead. There was no beginning and ending work in process. 7,500 units were completed and transferred out. What would be the unit cost for material? ",(a) ? 22 ,(b) ? 16 ,(c) ? 14,(d) ? 8,D
43. Which of the following is false regarding the LIFO method of inventory valuation? ,(a) The material issue will be priced at the price of the material that is purchased last. ,(b) The pattern of cash flow does not necessarily coincide with the actual flow pattern of materials. ,(c) It permits management to influence net income by timing the purchases.,(d) LIFO determines closing inventory at recent costs.,D
"44. The standard time required per unit of a product is 20 minutes. In a day of 8 working hours a worker given an output of 30 units. If he gets a time rate of ? 20/hr., his total earnings under Halsey bonus scheme was ",(a) ? 200 ,(b) ? 192 ,(c) ? 180,(d) ? 160,C
45. The FIFO assumption of cost flow when applied in a period of rising prices ,(a) Overstates profit and closing stock ,(b) Overstates profit and understates closing stock ,(c) Overstates profit and shows closing stock at current prices,(d) Understates profit and overstates closing stock,C
46. A change in Depreciation Method under AS-6 is treated[D5] ,(a) Change in Accounting Policy ,(b) Prior-Period Adjusting ,(c) Change in Accounting Standards,(d) All of the given,A
