1. Method (s) that is used to apportion total costs of service departments to production departments[D1]. ,(a) Direct ,(b) Step Ladder ,(c) Trial and Error ,(d) All of the above,D,,,
"2. When the under or over absorbed overheads amount is significant, it should be disposed off by (",(a) Transferring to costing profit and loss account (,(b) Using a supplementary rate (,(c) Carry over to next year (,(d) None of the above.,B,,,
3. Pick the correct one ,(a) Blanket overhead rate should not be used except when output is uniform. Otherwise it will result in over-costing and under-costing of certain cost units. ,"(b) When a blanket rate is used, performance of individual departments or cost centre cannot be properly assessed and exercise of control becomes difficult. ",(c) both A&B,(d) None of the given,C,,,
"4. Administration overheads include i. Office rent, rates, taxes ii. Salaries of administrative Staff iii. Audit and legal fees iv. Expenses for making efforts to find and retain customers ","(a) i, ii and iii ","(b) i, ii and iv ","(c) i, iii and iv",(d) All of the above,A,,,
"5. Under Hasley-Weir premium plan, the portion of time saved is shared by employee. ",(a) 30% ,(b) 50% ,(c) 75% ,(d) 60%,A,,,
"6. Rahi Ltd. has computed labour turnover rates for the year ended 31st March, 2019 as 4%, 5% and 9% respectively under separation method, replacement method and flux method. The number of workers replaced during the year is 100. On an average how many workers on the rolls. ",(a) 900 ,(b) 1800 ,(c) 2000 ,(d) 1500,C,,,
7. Rent free accommodation or accommodation provided at concessional rate should be classified as ,(a) Fringe Benefits ,(b) Deferred Monetary Benefits ,(c) Fixed Standard labour cost ,(d) Pecuniary Benefits,A,,,
"8. At break-even point, the contribution will be equal to ",(a) Prime Cost ,(b) Overhead ,(c) Product Cost,(d) Fixed Cost,D,,,
"9. When contribution sales ratio is 30% and margin of safety in 10%, then profit will be ",(a) 10% ,(b) 30% ,(c) 12% ,(d) Cannot be computed,D,,,
"10. In ‘make or buy’ decisions, it is profitable to buy from outside only when the suppliers’ price is below the firm’s own ",(a) Fixed Cost ,(b) Variable Cost ,(c) Contribution ,(d) Profit,B,,,
"11. Fixed overheads-180000, Variable cost per unit-? 2 and selling price-? 20. If the company is earning a profit of ?36,000 express the margin of safety available to it. ",(a) ? 44000 ,(b) ? 36000,(d) ? 40000,(d) ? 50000,C,,,
"12. When the sales increase from ?40,000 to ?60,000 and profit increases by ?5,000, the P/V ratio is (",(a) 20% (,(b) 30% (,(c) 25% (,(d) 40%.,C,,,
"13. The present unit cost data for a product are: selling price ? 15; variable cost ?  8. If selling price is reduced by 10% and variable costs are increased by  12.5%, which of the following is the amended contribution to sales ratio? ",(a)  0.50 ,(b)  0.666 ,(c)  0.25 ,(d)  0.333,D,,,
"14. From the following Information, calculate Labour flux rate No. of Workers as on 01.01.2013 = 7,600 No. of workers as on 31.12.2013 = 8,400 During the year, 80 workers left while 320 workers were discharged 1,500 workers were recruited during the year of these, 300 workers were recruited because of exits and the rest were recruited in accordance with expansion plans. ",(a) 8.75% ,(b) 5% ,(c) 10.5%,(d) 20%,A,,,
"15. Calculate stock turnover ratio from the following data: Opening stock- ? 40,000, Closing stock- ?20,000, Purchases -? 1,00,000, Wages- ?6,000, Carriage inward- ? 4,000, Freight outward- ? 10,000. ",(a) 4 times ,(b)  4.33 times ,(c)  4.67 times ,(d) 5 times,B,,,
"16. In a company, the weekly minimum and maximum consumption of Material-A are 25 and 75 units respectively. The re-order quantity as fixed by the company is 300 units. Material-A is received within 4 and 6 weeks from the date of issue of supply order. Calculate minimum level and maximum level of Material- ",(a) 200 and 650 respectively ,(b) 300 and 650 respectively ,(c) 200 and 450 respectively,(d) 300 and 450 respectively,A,,,
"17. Standard output 100 units, Normal piece Rate Re 1 per piece, X produced 60 units, Y produced 100 units, Z produced 110 units. Earnings using Merrick's Differential Piece rate will be ","(a) X-49.8, Y-100 and Z-121 ","(b) X-60, Y-110 and Z-121 ","(c) X-60, Y-121 and Z-132","(d) X-60, Y-110 and Z-132",D,,,
"18. The annual carrying cost of material 'X' is ? 3.6 per unit and its total carrying cost is ? 9,000 per annum. What would be the Economic order quantity for material 'X'. If there is no safety stock of material X? ",(a) 2500 ,(b) 5000 ,(c) 3500,(d) 6000,B,,,
"19. The following data are available in respect of material X for the year ended 31st March. 2018, calculate the number of days for which the average inventory is held. Opening stock- ? 90,000, Purchases during the year- ? 2,70,000 and closing stock- ? 1,10,000 ",(a) 104 days ,(b) 135 days ,(c) 146 days,(d) 131 days,C,,,
"20. The following information relates to the production department for a certain period in a factory: Direct Materials consumed- ? 75,000, Direct Wages- ? 50,000, Production overheads- ? 1,50,000, Labour Hours- 30,000 hours Machine Hours 25,000 hours For one Order No, 101 carried out in the department during the period, the relevant data were: Direct Material consumed- ? 14,000, Direct Wages ?11,000, Machine hours worked 5000 hours Labour hours worked 7000 hours, Calculate Production Overhead Rate using Prime Cost Percentage ",(a) 200 ,(b) 300 ,(c) 120,(d) none of the given,C,,,
21. An asset to be shown as an asset in its balance sheet it must be[D2] ,(A) Possessed by the business ,(B) Owned by the business ,(C) Controlled by the business ,(D) Used by the business,C,,,
22. A trader purchased a motor vehicle for his business using a cheque from his personal bank account. How is this recorded in the books of the business? ,(a) Debit-Bank and Credit Motor Vehicle ,(b) Debit-Motor Vehicle and Credit Bank ,(c) Debit-Capital and Credit Motor Vehicle,(d) Debit-Motor Vehicle and Credit Capital,D,,,
23. How is owner’s equity calculated? ,"(a) money invested in the business by the owner, plus the net current assets","(b) money invested in the business by the owner, plus the non-current liabilities","(c) total of non-current assets and working capital, less the non-current liabilities ","(d) total of non-current assets, long term liabilities and net current asset",C,,,
"24. In a business’s books, the ledger account of Mr. Kapil a customer, shows a debit balance of ?450. What does this mean? ",(a) Mr. Kapil has paid ?450 to the business,(b) Mr. Kapil owes the business ?450 ,(c)the business has paid Mr. Kapil ?450 ,(d) the business owes Mr. Kapil ?450,B,,,
