1. The SAI India may also conduct combined audits. It means which of the following ,"(a) Incorporating financial, performance and /or compliance aspects. ",(b) Financial Audit ,(c) Compliance Audit,(d) Performance Audit,A
2. Continuous improvements which is one of important outcomes of follow-up procedures can’t be achieved by which of the following ,(a) Quality Assurance Review Programme ,(b) Peer Review ,(c) Dissemination of lessons learnt,(d) Work in process e. None of the above,D
3. Draft paragraphs proposed for inclusion in an audit report are sent to the secretary to the Government for their reply/response /comment within how many weeks from the date of the letter. ,(a) 4 weeks or within such other period of time as may be specified ,(b) 2 weeks or within such other period of time as may be specified ,(c) 6 weeks or within such other period of time as may be specified,(d) 3 weeks or within such other period of time as may be specified,C
4. Audit should not normally take more than to offer comments on the draft note to Ministries/ Departments? ,(a) a week ,(b) a fortnight ,(c) four weeks,(d) six weeks,B
5. In which module detail posting of vouchers is done? ,(a) Treasury Section ,(b) Budget ,(c) Book,(d) Journal Register e. Treasury Accounting,A
6. Embezzlement/defalcation/misappropriation of money is categorised under ,(a) White Collar Crime ,(b) Corruption ,(c) Fraud,(d) Both A and C e. Bribe,D
7. In which module reports of Monthly Civil Accounts is generated? ,(a) Finance Appropriation ,(b) Treasury Accounting ,(c) Works,(d) Cash book,A
8. The elements of fraud do not include ,(a) illegal advantage ,(b) Intention ,(c) notional or presumptive loss,(d) None of the above,C
9. In how many parts Government accounts shall be kept? ,(a) Two ,(b) three ,(c) five,(d) six,B
"10. In Audit findings, what is the meaning of “Conditions”? ",(a) What should be ,(b) What is ,(c) What are the consequences,(d) All of the above,B
"11. In Audit findings, what is the meaning of “Effect”? ",(a) What should be ,(b) What is ,(c) What are the consequences,(d) Why is there a deviation?,C
12. Which of these components are not a component of audit findings related to Performance Audit? ,(a) Audit criteria ,(b) Condition ,(c) Effect,(d) None of above ,D
13. Recommendations emerge from identification of the of audit findings. ,(a) cause ,(b) Condition ,(c) Effect,(d) Criteria e. Suggestion ,A
14. The recommendations should be linked to ,(a) Audit objectives ,(b) Findings ,(c) Conclusions,(d) All of the above e. Only a and b are correct ,D
15. Whether exit meeting and exit conference are same ,(a) True ,(b) False ,(c) Both A and B are correct according to situation,(d) None of the above,C
16. Which among the following factor that affect the evidence? ,(a) samples selected are representative ,(b) incomplete evidence and does not establish a cause and effect relationship ,(c) unbiased evidence,(d) Evidence that is not conflicting e. Evidence that is persuasive,B
