1. The duties entrusted to the CAG under the provisions of the DPC Act fall broadly under ,(a) one category- keeping of Accounts ,(b) two categories- compilation and keeping of accounts and audit. ,"(c) three categories- compilation and keeping of accounts, audit and financial advisor.",(d) None of the given,B
2. Pick the correct one ,"(a) Section 18 (1) of the DPC Act requires the person in charge of the office or department, the accounts of which are to be inspected and audited by the CAG, to afford all facilities for such inspection and to comply with requests for information in as complete a form as possible and with all reasonable expedition ","(b) Section 18 (2) of the DPC Act empowers the CAG to Inspect any office of accounts under the control of the Union or of a State, to require that any accounts, books, paper and other documents which deal with or form the basis of or are otherwise relevant to the transactions to which his duties in respect of audit extend and to pose such questions or make such observations as the CAG may consider necessary to the person in charge of the office and to call for such information as the CAG may require for the preparation of any account or report which it is his duty to prepare. ",(c) None of the above,(d) Both of the above,C
"3. Where any grant or loan is given for any specific purpose from the Consolidated Fund of India or of any State or of any Union Territory having a legislative assembly to any authority or body, not being a foreign state or international organisation, the CAG is authorised under Section 15 (1) of the DPC Acts to ",(a) scrutinise the procedures by which the sanctioning authority satisfies itself as to the fulfilment of the conditions subject to which such grants or loans were given ,(b) scrutinise the procedures by which the grantee/loanee accounts for the grants or loans and their utilisation for the purpose for which they were given ,(c) both a& b,(d) None of the above,A
"4. Audit of all the expenditure from Consolidated Fund, Contingency Fund and Public Accounts is governed by which Section of the DPC Act, 1971? ",(a) Section 11 ,(b) Section 13 ,(c) Section 15,(d) Section 16,B
"5. Under Section 21, delegation of power by the CAG in respect of submission of any report which the CAG is required by the Constitution or the UT Act, 1963 can ",(a) be made only during the absence of the CAG on leave or otherwise ,(b) be made only when disciplinary proceedings against CAG is underway ,(c) be made in all the cases when the CAG so desires,(d) not be made under any circumstances.,A
6. The risk associated with land acquisition process for PPP projects is no doubt the most challenging pre- development activity in India falls under the category of risk ,(a) Feasibility/Organisational Risk ,(b) Conditions Precedent Risks ,(c) Unforeseen Risk,(d) Residual Risk,B
"7. To monitor the project activities, and to act on their behalf to accord sanctions and to coordinate the construction, technical and commercial activities of a PPP, the concession Agreements would provide for the appointment of ",(a) “Independent Engineers” (IE) and “Independent Auditors” (IA) by the public sector partners ,(b) “Independent Engineers” (IE) and “Independent Auditors” (IA) by the private sector partners ,(c) “Independent Engineers” (IE) and “Independent Auditors” (IA) jointly by the public and private sector partners,(d) “Independent Engineers” (IE) and “Independent Auditors” (IA) by Special Purpose Vehicle independent of public and private sector partners,A
"8. Pick the correct one i. The Central / State Governments provide viability gap funding up to 40 percent of the project cost in deserving cases. ii. Under the “Financial Support to Public Private Partnerships in Infrastructure” (FSPPPI) scheme financial support of up to 20% of the capital costs is granted iii. Additionally, the sponsoring ministry or the State Government concerned could give grants of up to another 20% of the total capital cost. iv. These are however subject to the condition that the private participant is selected on the basis of competitive bidding and would hold not more than 49% of the shareholding of the PPP ","(a) ii, iii and iv ","(b) i, ii and iii ","(c) i, ii and iv",(d) All of the above,B
9. Main issues which will constrain the audit planning of PPP projects by IA&AD except ,(a) the overall shortage of qualified and trained staff to take up additional areas of audit ,"(b) the need to train the selected staff for PPP audit, which is a new area ",(c) the reluctant approach of the private partner towards public audit,(d) None of the given,C
"10. This risk will arise if the private sector partner fails in the project because of its management failure, bankruptcy, dismal performance, indebtedness etc. and is borne by the promoting public sector partner is ",(a) Financial Risk ,(b) Dropout Risk ,(c) Conditions Precedent Risk,(d) Termination Risk,D
"11. When planning the audit of PPP projects, it will be beneficial therefore to keep in mind the relevant guidelines established in the ",(a) SAI-India’s Performance Auditing Guidelines ,(b) SAI-India’s Compliance Auditing Guidelines ,(c) SAI-India’s Financial Auditing Guidelines,(d) All of the above,A
12. With regard to the audit of PPP pick the incorrect one ,(a) The DPC Act does not directly contemplate the audit of PPP projects or joint ventures with only minority participation by the government agency since these are recent innovations under the development strategy ,"(b) Under the circumstances, the public auditor shall have to confine his audit to the data, records and documents in the possession of the government department, PSU or autonomous body which is the public sector partner of the PPP arrangement ",(c) It can also be undertaken u/s 13 of the DPC Act,(d) None of the given,C
"13. i. Under this type of PPP, the private party assumes the entire responsibility for the design, construct, finance, and operate or operate and maintain the project for the period of concession. ii. The private participant to the project will recover its investment and return on investments (ROI) through the concessions granted or through annuity payments etc. The above is related to ",(a) BOO ,(b) DBFO/DBFOM ,(c) LOT,(d) BOOT,B
