1. Diet-money is deposited by the ,(a) Assessee ,(b) Witness ,(c) Income Tax Department ,(d) Court.,A,Rule 6 (2) (b) RP 1983,
2. Pick the incorrect one ,(a) An account payee cheque/DD issued by the AO/CDDO for delivery to the recipient through departmental officer need not be entered in the cash book instead recorded and watched through crossed cheques and bank drafts transit register ,(b) Cheque drawn by a CDDO for replenishment of cash chest or for making payment in cash shall not be recorded in cash book rather shall be recorded in daily cash balance register. ,"(c) Receipts in the form of local cheques, or demand drafts (to be crossed) in favour of PAO (or endorsed in their favour) accepted by non-cheque drawing D.D.Os should be entered in register of valuable and not in Cash Book (GAR 3) ",(d) None of the above,B,Exception (a) and (c) under Rule 13 (ii) RP 1983. Option a and c are correct whereas option b is incorrect.,
3. Pick the correct one ,(a) The cash chest/almirah should be secured by two locks of similar patterns held by two different persons ,(b) Duplicate keys thereof should be placed in separate sealed covers and lodged with bank or different officers of higher rank than the custodians of the chest ,(c) Both A&B ,(d) None of the given,B,Note 4 below Rule 13 (viii) RP 1983. Two locks of different patterns.,
"4. On the allegation that the originals have been lost, duplicates or copies of receipts granted for money received ",(a) may be issued by the Cashier/Accountant with the prior approval of Head of Office ,(b) may be issued by the Cashier/Accountant even without the prior approval of Head of Office ,"(c) may not be issued, however, only a certificate to having received the sum may be given ",(d) Any of the above may be done subject to amount received.,C,Rule 23 RP 1983,
5. A bill becomes a voucher only when it is ,(a) receipted ,(b) stamped paid ,(c) receipted and stamped paid ,"(d) receipted, stamped paid and posted.",C,Explanation A under Rule 28 RP 1983,
"6. HoD may authorise any Gazetted Officer serving under him to sign a bill or order for him, communicating the name and specimen signature of the officer to the ",(a) Disbursing Officer concerned ,(b) PAO ,(c) Bank ,(d) All of the above,A,Rule 35 (2) RP 1983,
7. Pick the correct one ,(a) The limit of ? 5000/-up-to which a receipt is not required to be stamped should be applied to the gross claimed preferred and not to net amount payable on a bill ,"(b) Affixing of stamp for receipt of payment outside India will be governed by the Indian Stamp Act, 1899. ",(c) Both A&B ,(d) None of the given,D,"Note 1 & 2 below Rule 37 RP 1983. On net amount and outside India, it is governed by Local Laws",
8. Cheque shall be payable at any time within 3 months from the date of issue invariably applies to cheques drawn on local banks by the Indian Missions and Posts abroad,(a) True ,(b) False,,,B,Note below Rule 45 RP 1983. Validity in accordance with Local Laws,
9. Pick the correct one i. Drawing cheques and depositing the amount in the department's cash chest at the end of the year for the purpose of showing the full amount of the grant as utilised is not permissible ii. Specimen signatures of every Government officer handling government transaction shall be communicated to PAO-in case of bill and Bank-in case of cheque iii. Specimen signature a Govt. official is communicated to AO through Some superior officer/predecessor whose signature is already with AO iv. Mint Master is exempted from circulating the specimen signature of their officers issuing Mint Out-turn Certificates payable at the bank. ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D,Rule 51 RP 1983 and note below it.,
10. Vouchers and acquittances which are not required to be submitted to the Accounts Officer shall be ,(a) destroyed at once at the time of submission of bill to AO ,(b) filed and retained carefully in the office concerned as important documents till they are destroyed under the orders of competent authority. ,(c) submitted to Accounts Officer in monthly consolidated manner that will be destroyed by the Accounts Officer in due course ,(d) submitted to Superior officer for custody and production during the audit.,B,Rule 60 (1) RP 1983,
11. A separate pay bill should be prepared for except ,(a) establishments whose charges are debitable to different heads of account ,(b) personnel to whom salary is payable individually by cheque ,(c) Group D employees ,(d) None of the given.,D,Rule 66 (2) RP 1983,
