1. The main difference between PPP and privatization is that ,(a) in the case of PPP there is no permanent transfer of ownership of the assets to the private partner and the public sector agency remains accountable for providing services of the required quality. ,(b) in the case of Privatisation there is no permanent transfer of ownership of the assets to the private partner and the public sector agency remains accountable for providing services of the required quality. ,(c) in the case of PPP there is no permanent transfer of ownership of the assets to the private partner but the private sector agency becomes accountable for providing services of the required quality.,(d) in the case of Privatisation there is no permanent transfer of ownership of the assets to the private partner but the private sector agency becomes accountable for providing services of the required quality.,A
2. The PPP Appraisal Committee will be serviced by a Special Cell set up for the purpose in the ,(a) Niti Aayog ,(b) Department of Economic Affairs (DEA) ,(c) Department of Legal Affairs,(d) O/o the CAG,B
3. SAI’s risks with regard to the PPP audit include i. Insufficient domain knowledge ii. Lack of expertise required to examine the process and the results iii. Failure to identifying worthwhile lessons iv. Absence of following up the audit work ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv",(d) All of the above,D
4. Pick the incorrect one ,"(a) Unless the promoting department or PSU has considered different alternatives for implementing the project and selected the most appropriate set up, the project may not succeed in the long run. It causes Feasibility or Organisational Risk ","(b) The public sector partner will have to fulfil several conditions precedent to enable the private sector partner to start work on the project, including making available the required land and assets etc. and environmental and other statutory clearances. Such risk is called Conditions Precedent Risks ","(c) The risk that involves two issues, one regarding the ease with which the required finance could be raised for the project, and the other is about the abatement of interest charges and repayment of the principal is called Accounting Risk.",(d) None of the given,C
5. Revenue Risk associated with a PPP i. Shortfall in demand and consequentially the revenue has the potential of destabilizing the PPP arrangement because the private sector partner may be forced at some stage to opt out. ii. This may not only result in disruption of services but also delay ancillary development thus impacting adversely on the generation of expected revenue. Shortfall in revenue generation will hurt the private partner as finance is brought by it. iii. Shortfall in demand and revenue can result from unrealistically higher level of user charges allowed and fixed under the PPP arrangement iv. It has to be seen whether the formula for tariff fixation or user charges is worked out correctly and takes into account the best interest of the user community as well as the investors ,"(a) ii, iii and iv ","(b) i, iii and iv ","(c) i, ii and iv",(d) All of the above ,B
"6. Selection of PPP projects for audit will depend on the risk factors associated with the projects i. The extent and value of the shareholding / participation of the government / public sector partner in the PPP unit, value of assets transferred, total project cost etc. ii. Government guarantees and other state support elements iii. Concession nature and its value including revenue sharing iv. The nature and criticality of the service to be provided by the PPP venture and its impact on the public at large v. System for monitoring and evaluation of the performance of the service provider. ","(a) i, ii, iii and iv ","(b) i, ii, iv and v ","(c) i, iii, iv and v",(d) All of the above,D
7. The comparator used by the public entity as a benchmark to help to decide whether an alternative procurement method using private finance would offer better value for money is called ,(a) Project Comparator ,(b) Public Sector Comparator ,(c) Financial Close,(d) Model Concession,B
"8. The sum of all expected cash flows over the total economic life of the project, taken one year at a time, and discounted by a factor which represents the opportunity cost of capital is called ",(a) Net Present Value ,(b) Net Future Value ,(c) Net Economic value,(d) Cost of Capital,A
9. Audit of total Project Cost of a PPP ,(a) TPC could also be adversely impacted by concessionaire’s risk perceptions in terms of attitude of the government authorities and degree of absolutism in the terms and conditions incorporated in the bid documents as to those aspects which can be precisely predicted and measured upfront. ,"(b) Since the ROI from the project and the user charge / tariff / toll will depend on the quantum of the TPC, a higher cost of construction might benefit the private partner at the cost of the user community. ",(c) Public auditors should eschew the temptation of expecting the public authority to transfer most of the risks to the private sector partner even as it may push up the project cost and thus prove counter-productive.,(d) All of the above,D
10. With regard to audit of viability gap funding (VGF) ,"(a) It is essential for the auditors to assess carefully the actual funding gap by analysing the total capital cost, revenue generation based on projected demand, tariff / toll structure and capping (if imposed), rate of return and cash flow. ",(b) The DPR will include the working of the total capital cost and the extent of shortage in financing the capital which may not be covered by the expected returns. ,(c) Both A&B,(d) None of the given,C
11. The Audit Board is constituted ,(a) by CAG for performance audits of Central Public Sector Undertakings ,(b) by CAG for performance audits of Public Sector Undertakings whether Central or State ,(c) by AG for performance audits of State Public Sector Undertakings falling within his/her jurisdiction ,(d) by AG for performance audits of Public Sector Undertakings whether Central or State falling within his/her jurisdiction,A
"12. For the purpose of Section 23 of the Act, which of the following shall be deemed to be the general principles of Government accounting? ","(a) General Financial Rules, 2017 ","(b) Government Accounting Rule, 1990 ","(c) Receipt & Payments Rules, 1983",(d) All of the above,B
"13. In respect of the State Government, the AG (Audit) shall report the cases of delay to ",(a) the CAG ,(b) the Chief Secretary ,(c) the Secretary Finance Department,(d) the Governor,B
14. Pick the correct one regarding reply to audit observation by auditable unit ,(a) The officer in charge of the auditable entity shall send the reply to an audit note or inspection report within two weeks of its receipt. ,"(b) Even if it is not feasible to furnish the final replies to some of the observations in the audit note or inspection report within the prescribed time limit, the first reply shall not be delayed on that account and an interim reply may be given indicating the likely date by which the final reply shall be furnished. ",(c) Both a & b,(d) None of the given.,B
"15. Results of audit conducted with reference to data, information and documents of any auditable entity that are available in an audit office or an accounts office will be communicated to the auditable entity in the form of ",(a) Action Taken Notes ,(b) Managerial Note ,(c) Inspection Notes,(d) Audit Notes,D
16. Pick the incorrect one ,(a) The annual audit plan for audit of panchayati raj institutions and urban local bodies in the next financial year prepared by the Local Fund Auditor shall be submitted to the AG (Audit) of the State by the end of April ,(b) The local fund auditor will furnish returns in such format as may be prescribed by the AG for advice and monitoring. ,(c) None of the given,(d) Both A&B,D
"17. Annual accounts duly adopted by the board of directors of a Government company or a deemed Government company and audited by the statutory auditor shall be submitted to the Accountant General (Audit) within 3 months of the close of the year of accounts. The AG, in respect of a non-listed Government company, may ",(a) extend the said date by one month ,(b) reduce the said date by one month ,(c) reduce the said date by two months,(d) extend the said date by two months,A
18. Audit of the a Government company or a deemed Government company by the CAG is called ,(a) Special Audit Report ,(b) Supplementary Audit Report ,(c) Separate Audit Report,(d) Independent Audit Report,B
