1. A CPU contains ,(a) a card reader and a printing device ,(b) an analytical engine and a control unit ,(c) a control unit and an arithmetic logic unit ,(d) an arithmetic logic unit and a card reader,C, 
2. Which of the following controls the process of interaction between the user and the operating system? ,(a) User interface ,(b) Language translator ,(c) Platform ,(d) Screen saver,A, 
3. The first computers were programmed using ,(a) assembly language ,(b) machine language ,(c) source code ,(d) object code,B, 
4.. ..........is a combination of hardware and software that facilitates the sharing of information between computing devices. ,(a) network ,(b) peripheral ,(c) expansion board ,(d) digital device,A, 
5. Coded entries which are used to gain access to a computer system are called ,(a) Entry codes ,(b) Passwords ,(c) Security commands ,(d) Code words,B, 
6. You organize files by storing them in ,(a) archives ,(b) folders ,(c) indexes ,(d) lists,B, 
7. What type of resource is most likely to be a shared common resource in a computer Network? ,(a) Printers ,(b) Speakers ,(c) Floppy disk drives ,(d) Keyboards,A, 
8. Which device is required for the Internet connection? ,(a) Joystick ,(b) Modem ,(c) CD Drive ,(d) NIC Card,B, 
9. CD-ROM stands for ,(a) Compactable Read Only Memory ,(b) Compact Data Read Only Memory ,(c) Compactable Disk Read Only Memory ,(d) Compact Disk Read Only Memory,A, 
10. ALU is ,(a) Arithmetic Logic Unit ,(b) Array Logic Unit ,(c) Application Logic Unit ,(d) None of above,A, 
11. VGA is ,(a) Video Graphics Array ,(b) Visual Graphics Array ,(c) Volatile Graphics Array ,(d) Video Graphics Adapter,A, 
12. WAN stands for ,(a) WAP Area Network ,(b) Wide Area Network ,(c) Wide Array Net ,(d) Wireless Area Network,B, 
13. MICR stands for ,(a) Magnetic Ink Character Reader ,(b) Magnetic Ink Code Reader ,(c) Magnetic Ink Cases Reader ,(d) None,A, 
14. EBCDIC stands for ,(a) Extended Binary Coded Decimal Interchange Code ,(b) Extended Bit Code Decimal Interchange Code ,(c) Extended Bit Case Decimal Interchange Code ,(d) Extended Binary Case Decimal Interchange Code,A, 
15. Which of the following is a part of the Central Processing Unit? ,(a) Printer ,(b) Key board ,(c) Mouse ,(d) Arithmetic & Logic unit,D, 
16. CAD stands for ,(a) Computer aided design ,(b) Computer algorithm for design ,(c) Computer application in design ,(d) Computer analogue design,A, 
17. Junk e-mail is also called ,(a) spam ,(b) spoof ,(c) sniffer script ,(d) spool,A, 
18. Hackers ,(a) all have the same motive ,(b) break into other people's computers ,(c) may legally break into computers as long as they do not do any damage ,(d) are people who are allergic to computers,B, 
19. What type of computers are client computers (most of the time) in a client-server system? ,(a) Mainframe ,(b) Mini-computer ,(c) Microcomputer ,(d) PDA,C, 
20. A computer cannot 'boot' if it does not have the ,(a) Compiler ,(b) Loader ,(c) Operating System ,(d) Assembler,C, 
21. The amount of vertical space between lines of text in a document is called ,(a) double-space ,(b) line spacing ,(c) single space ,(d) vertical spacing,B, 
22. Example of non-numeric data is ,(a) Employee address ,(b) Examination score ,(c) Bank balance ,(d) All of these,A, 
23. What is embedded system? ,(a) The programme which arrives by being wrapped in box. ,(b) The programme which is the permanent part of the computer ,(c) The computer which is the part of a big computer ,(d) The computer and software system that control the machine,D, 
24. First page of Website is termed as ,(a) Homepage ,(b) Index ,(c) JAVA script ,(d) Bookmark,A, 
25. . ..................... Is the appearance of typed characters? ,(a) Size ,(b) Format ,(c) Point ,(d) Colour,B, 
26. When a file is saved for the first time ,(a) a copy is automatically printed ,(b) it must be given a name to identify it ,(c) it does not need a name ,(d) it only needs a name if it is not going to be printed,B, 
"27. Office LANS, which are scattered geographically on large scale, can be connected by the use of corporate ",(a) CAN ,(b) LAN ,(c) DAN ,(d) WAN,D, 
28. Where are data and programme stored when the processor uses them? ,(a) Main memory ,(b) Secondary memory ,(c) Disk memory ,(d) Programme memory,A, 
"29. . ............... represents raw facts, where-as................. is data made meaningful. ","(a) Information, reporting ","(b) Data, information ","(c) Information, bits ","(d) Records, bytes",B, 
30. What characteristic of read-only memory (ROM) makes it useful? ,(a) ROM information can be easily updated. ,"(b) Data in ROM is non-volatile, that is, it remains there even without electrical power. ",(c) ROM provides very large amounts of inexpensive data storage. ,(d) ROM chips are easily swapped between different brands of computers.,B, 
31. What do you call the programs that are used to find out possible faults and their causes? ,(a) operating system extensions ,(b) cookies ,(c) diagnostic software ,(d) boot diskettes,C, 
32. Which of the following is not anti- viruses’ software? ,(a) NAV ,(b) F-Prot ,(c) Oracle ,(d) McAfee,C, 
33. What does DMA stand for? ,(a) A. Distinct Memory Access ,(b) Direct Memory Access ,(c) Direct Module Access ,(d) Direct Memory Allocation,B, 
34. Which of the following is a storage device? ,(a) Tape ,(b) Hard Disk ,(c) Floppy Disk ,(d) All of the above,D, 
35. MIS is designed to provide information needed for effective decision making by? ,(a) Consumers ,(b) Workers ,(c) Foremen ,(d) Managers,D, 
36. BCD is ,(a) Binary Coded Decimal ,(b) Bit Coded Decimal ,(c) Binary Coded Digit ,(d) Bit Coded Digit,A, 
37. Chief component of first generation computer was ,(a) Transistors ,(b) Vacuum Tubes and Valves ,(c) Integrated Circuits ,(d) None of above,B, 
38. EEPROM stands for ,(a) Electrically Erasable Programmable Read Only Memory ,(b) Easily Erasable Programmable Read Only Memory ,(c) Electronic Erasable Programmable Read Only Memory ,(d) None of the above,C, 
39. The computer size was very large in ,(a) First Generation ,(b) Second Generation ,(c) Third Generation ,(d) Fourth Generation,A, 
