"1. If a company has contingent liabilities, they appear in the[D1] ",(a) Balance Sheet ,(b) Directors‘ Report ,(c) Notes on account to Balance Sheet ,(d) Chairman‘s report,B
2. Which of the following is also known as Position Statement? ,(a) Trial Balance ,(b) Trading & Profit Account ,(c) Income & Expenditure Account,(d) Balance Sheet,D
3. The purchase is reduced by the amount of closing stock and increased by the amount of opening balance of stock. In such cases the purchase is called ,(a) Accelerated purchase ,(b) Inflated purchase ,(c) Adjusted purchase,(d) Inclusive purchase,C
4. Pick the correct one ,(a) Trend percentage is calculated on the basis of Base year ,"(b) Generally, the base year for Trend percentage analysis is First Year ",(c) Neither A nor B,(d) Both A&B,D
"5. Calculate stock turnover ratio Opening stock Rs 19,000 Closing stock Rs 21,000 Sales Rs 2,00,000 Gross Profit 25% of sale. ",(a) 10 ,(b) 12.5 ,(c) 5,(d) 7.5,D
6. The following groups of ratios are primarily measure risk ,"(a) liquidity, activity, and profitability ","(b) liquidity, activity, and inventory ","(c) liquidity, activity, and debt","(d) liquidity, debt and profitability",D
7. Calculate the manager’s commission on the profit before charging such commission when the net profit of the firm is ? 50000/- and the rate of commission is 10% ,(a) ? 5000 ,(b) ? 4500 ,(c) ? 5500,(d) ? 4950,A
"8. X Ltd., has a current ratio of 3.5:1 and quick ratio of 2:1. If excess of current assets over quick assets represented by inventories is ? 24,000, calculate current assets and current liabilities. ","(a) ? 56,000 & ? 16,000 ","(b) ? 42,000 & ? 12,000 ","(c) ? 49,000 & ? 14,000","(d) ? 52,500 & ? 15,000",A
"9. Current assets of a company are ? 5,00,000. Current ratio is 2.5:1 and Liquid ratio is 1:1. Calculate the value of current liabilities, liquid assets and inventories. ","(a) ? 5,00,000, ? 3,00,000 and ? 3,00,000 ","(b) ? 2,00,000, ? 2,00,000 and ? 3,00,000 ","(c) ? 3,00,000, ? 3,00,000 and ? 2,00,000",(d) None of the above,B
10. Which of the following are capital receipt i. receipt from sale proceeds of fixed assets ii. Receipt from sale of old newspapers iii. Profits prior to incorporation iv. Profit on redemption of debentures v. Profit on revaluation of fixed asset & liabilities ,"(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, iii, iv and v",(d) All of the above,C
11. When market value of an asset is higher than book value depreciation is[D2] ,(a) not charged. ,(b) charged at usual rate ,(c) charged at lower rate,(d) charged at higher rate,B
12. Capital reserves are normally created out of ,(a) free or distributable profits ,(b) normal operating activities ,(c) capital profit,(d) All of the above,C
"13. If the original cost of the asset is ? 2,00,000 and depreciation is charged @ 10% p.a. at written down value, the book value of the assets after a period of three account year will be ",(a) ? 140000 ,(b) ? 160000 ,(c) ? 162000,(d) ? 145800,D
"14. Under the revaluation model of fixed assets provided by the international accounting standards, the revaluation of the fixed assets should be carried out ",(a) After 10 years ,(b) After 7 years ,(c) Once 2 to 5 years,(d) Once 3 to 5 year,D
"15. Suppose that provision for doubtful debts account’s opening balance is ?3222, closing balance=?5222 and bad debts written off during the accounting period amount to ?500. Work out the total amount needed to debit in the profit and loss account? ",(a) ?2500 ,(b) ?8444 ,(c) ?8944,(d) ?7944,A
"16. If actual bad debts are more than the provisions for bad debts, then there will a ",(a) Credit balance of Provision for Bad Debts Account ,(b) Debit balance of Provision for Bad Debts Account ,(c) Debit balance of Bad Debts Account,(d) Debit balance of Discount on Debtors Account,C
17. The ledger folio column of journal is used to[D3] ,(a) Record the date on which amount posted to a ledger account. ,(b) Record the number of ledger account to which information is posted. ,(c) Record the number of amounts posted to the ledger account.,(d) Record the page number of the ledger account.,B
18. Balancing of account means ,(a) total of debit side ,(b) total of credit side ,(c) total of debit side and credit side,(d) figure out the difference between debit and credit,D
"19. Credit balance as per Cash Book - ? 20,000, Bank charged interest - ? 500 Cheques issued but not presented for payment - ? 5000, Overdraft / Balance as per Pass Book will be: ","(a) ? 25,000 ","(b) ? 25,500 ","(c) ? 15,500","(d) ? 15,000",C
