1. Outcome Budget is prepared by,(a) Ministry/Department concerned ,(b) Department of Expenditure ,(c) Niti Aayog ,(d) Department of Expenditure in consultation with Niti Aayog and Ministry/Department concerned,D,Rule 54 GFR 2017
2. Pick the correct one ,"(a) A consolidated account in Form GFR 8, showing the complete expenditure from the grant or appropriation at his disposal up-to the end of the preceding month shall be prepared by the PAO ",(b) Responsible for the monthly reconciliation of the figures given in the accounts maintained by the Head of the Department with those appearing in the Accounts Officerï¿½s books are both Head of Department and Accounts Officer jointly ,(c) Both A& B ,(d) None of the given,B,Rule 57 (4) (vii) and 57 (5) GFR 2017. GFR 8 is prepared by the Head of the Department
3. Adherence to the stipulated Quarterly Expenditure Plan and the guidelines issued in this regard by Ministry of Finance from time to time shall be ensured by ,(a) The Financial Advisers of the Ministries/Departments ,(b) The Head of the Department ,(c) Pay and Accounts Officer ,(d) All of the above.,A,Rule 62 (4) GFR 2017
"4. Pick the correct one i. If the agency work entrusted by the Centre to a State involves the employment of a State Commercial Department, the cost of such work will be open to that department to charge its normal commercial costs. ii. The cost of regular joint establishment incurred under Article 258 shall be shared on the basis of fixed annual sums settled in agreement with the State Government concerned iii. If the amount agreed upon exceeds ? 10000 an annual statement of proposed charges from the State Government shall be obtained by time at the time of preparation of the Budget iv. The Ministry/Department that should be consulted on all matters arising under Article 258 (3) of the Constitution is Ministry of Finance ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,C,"Rule 115 GFR 2017. An annual statement of proposed charges from the State Government shall be obtained by time at the time of preparation of the Budget, if charges exceed ? 50000/- per annum"
5. Goods and services up-to a certain value may be procured without inviting quotation has been given there in ,"(a) Rule 154 of GFR, 2017 ","(b) Rule 155 of GFR, 2017 ","(c) Rule 156 of GFR, 2017 ","(d) Rule 158 of GFR, 2017",A,It is up-to ? 25000/- on a certificate by the competent authority
"6. Where a bidder invited to bid but not in a position to supply the subject matter of procurement due to modification in the specifications or terms and condition and withdraw from bidding proceeding, ",(a) his/her bid security should be forfeited ,(b) his/her bid security should not be forfeited ,(c) half of his/her bid security should be forfeited ,(d) his/her bid security may be forfeited at the discretion of competent authority.,B,Rule 164 (ii) (f) GFR 2017
7. The mode of disposal will be either through advertised tender or public auction where the residue value of surplus or obsolete or unserviceable goods is ,(a) above ? 1 lakh ,(b) above ? 10 lakh ,(c) above ? 5 lakh ,(d) above ? 2 lakh,D,Rule 218 GAR 1990
8. The terms of contract must be ,"(a) precise, definite and without any ambiguities ","(b) complete, relevant and without any ambiguities ","(c) complete, precise and implicit and without any doubts ","(d) precise, complete and without any doubts",A,Rule 225 (i) GFR 2017
9. Pick the correct one ,"(a) On finalisation of account of a grantee, all interests or other earnings against Grants in aid or advances including reimbursement released should be remitted to Consolidated Fund of India ",(b) Non-Govt. or Quasi-Govt. Institutions or Organisations cannot dispose of assets acquired wholly or substantially out of Government Grants without the approval of grant sanctioning authority. ,(c) Both A&B ,(d) None of the given,B,Rule 230 (8) & (9) GFR 2017. Other than re-imbursement claim
"10. Terms and conditions of grant, to provide for reservation for SC/ST/OBC in posts and services where the grantee body is a registered society or a co-operative institution and is in receipt of a general purpose annual Grants-in-aid of ",(a) ? 50 lakh and above ,(b) ? 1 crore and above ,(c) ? 75 lakh and above ,(d) ? 25 lakh and above,D,Rule 230 (17) (i) (b) GFR 2017. Other conditions are (i) the recipient body employs more than twenty persons on a regular basis and (ii) at least fifty per cent of its recurring expenditure is met from Grants-in-aid from Central Government
